NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,COMPACTOR,ሥከ-CM-0007,Blue Nile Construction Share Company,7286463,101400240117,432,30/02/94,Bomag,BW212D,11.7,112,1991,050-CM-03,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.000,WEGAGEN BANK,,
,COMPACTOR,ሥከ-CM-0009,Blue Nile Construction Share Company,RZ7913560,67876,434,30/02/94,Bomag,BW90A,1.7,15,1979,050-CM-05,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0010,Blue Nile Construction Share Company,6072455,69508,435,30/02/94,Bomag,BW212,8.4,122,1979,050-CM-06,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.00,WEGAGEN BANK,,
,COMPACTOR,ሥከ-CM-0011,Blue Nile Construction Share Company,5542331,212-65591,436,30/02/94,Bomag,BW212,8.4,93,1978,050-CM-07,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.00,WEGAGEN BANK,,
,COMPACTOR,ሥከ-CM-0012,Blue Nile Construction Share Company,3N2137,15R467,437,30/02/94,Cat,815,20.04,216,1997,050-CM-10,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.00,WEGAGEN BANK,,
,COMPACTOR,ሥከ-CM-0013,National Engineers & Contractor Enterprise,4TF16851,5AL00033,533,23/04/94,Cat,CP-S33,12,145,1994,032-CM-06,AA,AA,17,24,2067,621836,,,FREE,,,,medehen derejet,26/10/94,251/94,730,ETHIOPIAN MEDHENA,,
,COMPACTOR,ሥከ-CM-0014,Water Works Construction Enterprise,7089302,4892629,561,21/05/94,Dynapac,CC-21,6.5,69,1985,026-CM-08,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0015,Norinco Lalibela Engineering & Construction Share Company,8399888,58311960,1874,26/01/97,Dynapac,CA251PD,14.5,107,1999,010-CM-05,AA,AA,Kirkos,4,4690,114423000,618,6/7/1994,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0016,Norinco Lalibela Engineering & Construction Share Company,0505923C,30206,1875,26/01/97,Sakai,SW70,8,84.8,1983,010-CM-01,AA,AA,Kirkos,4,4690,114423000,630,9/7/1994,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0017,Norinco Lalibela Engineering & Construction Share Company,5059240,30207,1876,26/01/97,Sakai,SW70,8,84.8,1983,010-CM-02,AA,AA,Kirkos,4,4690,114423000,631,9/7/1994,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0018,Norinco Lalibela Engineering & Construction Share Company,8399909,58311961,1877,26/01/97,Dynapac,CA-251,14.5,107,1999,010-CM-03,AA,AA,Kirkos,4,4690,114423000,632,9/7/1994,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0019,Norinco Lalibela Engineering & Construction Share Company,0505930C,SW70-30211,1878,26/01/97,Sakai,SW70,8,84.8,1983,010-CM-06,AA,AA,Kirkos,4,4690,114423000,633,9/7/1994,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0020,Water Works Construction Enterprise,7089296,4892630,671,10/08/94,Dynapac,CC-21,7,70,1985,026-CM-06,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0021,Water Works Construction Enterprise,6D-217434,700B215,672,10/08/94,Dynapac,CT-25,18.2,196,1983,026-CM-12,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0022,Water Works Construction Enterprise,08Z40216,17Z00842,673,10/08/94,CAT,ROBEX320LC-7,1.44M*3,216HP,2012,026-CM-13,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0025,Water Works Construction Enterprise,7042346,4892627,676,10/08/94,Dynapac,CC-21,7,70,1985,026-CM-03,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0026,Awash Construction Share Company,00887-00018,AD801511,704,30/08/94,G.D.R,Baukema,11.35,172,1980,097-CM-05,AA,AA,19,47,2193,661258,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0027,Prefabricated Building Parts Production Enterprise,2193966,2245,725,26/09/94,USSR,476T,4,52,---,063-CM-02,AA,AA,Akaki/Kality,10/11,102365,114390480,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0028,Batu Construction Share Company,8420284,101400870232,783,17/10/94,Bomag,BW212D-2,10.22,90,1999,009-CM-03,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0029,Batu Construction Share Company,2193341,2255,784,17/10/94,Tractor Exportmosco,DY-476,8,50,1987,009-CM-05,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0030,Batu Construction Share Company,6BD1-553709,5V91T-30600,785,14/10/94,Sakai,SV91TF,11.8,131,1995,009-CM-07,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0031,Batu Construction Share Company,5400800,31598,794,21/11/94,Bomag,BW-200,7,66,---,009-CM-04,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
