NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,DRILLING RIG,ሥከ-DR-003,Amhara National Region Water Works Construction Enterprise,21993174,138,2017,24/07/13,JUNJINCSM,JD-800,02MM,156HP,2012,1722-DR-02,AMARA,BAHERDAR,BAHERDAR,14,106,0918782890/0582200280,,,FREE,30/07/13,አዲስ ሊብሬ,2013/2014,,,,,,1003525,
,DRILLING RIG,ሥከ-DR-004,Amhara National Region Water Works Construction Enterprise,46881998,583,2015,24/07/13,JUNJINCSM,SD-1000E,02MM,165HP,2009,1722-DR-04,AMARA,BAHERDAR,BAHERDAR,14,106,0918782890/0582200280,,,FREE,30/07/13,አዲስ ሊብሬ,2013/2014,,,,,,1003525,
,DOZER,ሥከ-DZ-0001,Construction works & Coffee Technology Development Enterprise,41Z164696,9EM00907,4,27/07/93,Cat,D8R,305,305,2000,034-DZ-01,AA,AA,Kirkos,15/16,5898,0115155920/21,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0002,Batu Construction Share Company,48W18696,53Y02974,112,02/12/93,Cat,D8L,335,335,1985,009-DZ-01,AA,AA,23,14,1783,710999,,,PAID,,,,የባንክ ቤት,12/10/94,282/94,1.306.000,ETHIOPIA MEDEHN DEREJET,,
,DOZER,ሥከ-DZ-0003,Awash Construction Share Company,10Z08635,65V05257,347,16/02/94,Cat,D7G,200,200,1985,097-DZ-01,AA,AA,19,47,2193,661258,,,FREE,,,,MEDHIN,17/04/95,419/95,1.307.000.00,ETHIOPIAN MEDHIN,,
,DOZER,ሥከ-DZ-0004,Awash Construction Share Company,N855-C-26193117,31269,348,16/02/94,Komatsu,D85A,200,200,---,097-DZ-03,AA,AA,19,47,2193,661258,,,FREE,,,,MEDHIN,17/04/95,419/95,1.307.000.00,ETHIOPIAN MEDHIN,,
,DOZER,ሥከ-DZ-0005,Awash Construction Share Company,531-004055,6555,349,16/02/94,Fiat Allis,FA20,235,235,---,097-DZ-04,AA,AA,19,47,2193,661258,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0006,Awash Construction Share Company,10Z08649,65V05274,350,16/02/94,Cat,D7G,200,200,1985,097-DZ-05,AA,AA,19,47,2193,661258,,,FREE,,,,MEDHIN,17/04/95,419/95,1.307.000.00,ETHIOPIA MEDHIN,,
,DOZER,ሥከ-DZ-0007,Awash Construction Share Company,34935334,490000/P052514,361,19/02/94,Dresser,TD20H,245,245,1962,097-DZ-02,AA,AA,19,47,2193,661258,,,PAID,,,,MEDHIN,14/10/94,283/94,2.352.000,ETHIOPIA MEDHIN,,
,DOZER,ሥከ-DZ-0008,Blue Nile Construction Share Company,08Z30121,06X02007,414,30/02/94,Cat,D6D,140,140,1977,050-DZ-01,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.000,WEGAGEN BANK,,
,DOZER,ሥከ-DZ-0009,Blue Nile Construction Share Company,48W-21028,53Y03743,415,30/02/94,Cat,D8L,335,335,1985,050-DZ-05,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.000,WEGAGEN BANK,,
,DOZER,ሥከ-DZ-0010,Blue Nile Construction Share Company,10Z08621,65V05287,416,30/02/94,Cat,D7G,200,200,1986,050-DZ-09,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.000,WEGAGEN BANK,,
,DOZER,ሥከ-DZ-0011,Blue Nile Construction Share Company,10Z08645,65V05267,417,30/02/94,Cat,D7G,200,200,1985,050-DZ-12,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0012,Blue Nile Construction Share Company,56D60155-4-47784,28731,418,30/02/94,Komatsu,D155A-1,320,320,1991,050-DZ-16,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,የባንክ ቤት,01/03/96,585/96,7.500.00,WEGAGEN BANK,,
,DOZER,ሥከ-DZ-0014,Housing Construction Enterprise,10Z13327,65V06915,499,23/03/94,Cat,D7G,200,200,1990,098-DZ-01,AA,AA,Bole,6,5593,180916,,,FREE,,,,MEDHIN,25/05/99,222/99,625.212,ETHIOPIA MEDHIN,,
,DOZER,ሥከ-DZ-0015,Housing Construction Enterprise,10Z13653,31X03891,500,20/03/94,Cat,D6D,140,140,1986,098-DZ-02,AA,AA,Bole,6,5593,180916,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0016,Water Works Construction Enterprise,520-009139,9053,552,21/05/94,Fiat Allis,FD20,235,235,1986,026-DZ-10,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0017,Water Works Construction Enterprise,5D125-27946,35150,553,21/05/94,Komatsu,D85A-21,225,225,1988,026-DZ-20,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,20/04/98,1637/05,48.755.851,ኢትዮጲ ያ ንግድ ባንክ,,
,DOZER,ሥከ-DZ-0019,Water Works Construction Enterprise,12403,15437,601,28/06/94,Komatsu,D375A-1,508,508,1991,026-DZ-27,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,09/05/95,2392/95,5.999.101,አዋሽ,,
,DOZER,ሥከ-DZ-0020,Norinco Lalibela Engineering & Construction Share Company,44V24130,65V04464,1859,26/01/97,Cat,D7G,200,200,1982,010-DZ-03,AA,AA,Kirkos,4,4690,114423000,614,6/7/1994,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0021,Norinco Lalibela Engineering & Construction Share Company,44V24113,65V04455,1860,26/01/97,Cat,D7G,200,200,1982,010-DZ-04,AA,AA,Kirkos,4,4690,114423000,625,6/7/1994,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0022,Norinco Lalibela Engineering & Construction Share Company,62Z00085,92V10909,1861,26/01/97,Cat,D7G,200,200,1981,010-DZ-06,AA,AA,Kirkos,4,4690,114423000,616,6/7/1994,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0023,Norinco Lalibela Engineering & Construction Share Company,10Z08656,92V10543,1862,26/01/97,Cat,D7G,200,200,1982,010-DZ-01,AA,AA,Kirkos,4,4690,114423000,621,9/7/1994,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0024,Norinco Lalibela Engineering & Construction Share Company,3N62898,92V10910,1863,26/01/97,Cat,D7G,200,200,1981,010-DZ-02,AA,AA,Kirkos,4,4690,114423000,622,9/7/1994,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0025,Water Works Construction Enterprise,27407,45590,651,10/08/94,Komatsu,D65A-8,155,155,1988,026-DZ-01,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0026,Water Works Construction Enterprise,520-008866,9023,652,10/08/94,Fiat Allis,FD20,235,235,1986,026-DZ-09,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0027,Water Works Construction Enterprise,56D-155-4-52031,30318,653,10/08/94,Komatsu,D155A-1,320,320,1988,026-DZ-15,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0028,Water Works Construction Enterprise,56D-155-4-52030,30317,654,10/08/94,Komatsu,D155A-1,320,320,1988,026-DZ-16,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0029,Water Works Construction Enterprise,56D-155-4-52027,30314,655,10/08/94,Komatsu,D155A-1,320,320,1988,026-DZ-18,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0030,Water Works Construction Enterprise,56D-125-27958,35169,656,10/08/94,Komatsu,D85A-21,225,225,1988,026-DZ-25,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0031,Water Works Construction Enterprise,6D-125-2-27954,35158,657,10/08/94,Komatsu,D85A-21,225,225,1988,026-DZ-21,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0032,Water Works Construction Enterprise,56D-125-4-52033,30320,658,10/08/94,Komatsu,D155A-1,320,320,1988,026-DZ-19,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0033,Batu Construction Share Company,6D125-25649,50141,765,14/10/94,Komatsu,D75A,220,220,---,009-DZ-02,AA,AA,23,14,1783,710999,,,FREE,,,,የባንክ ቤት,22/04/95,428/95,10.917.192.60,ETHIOPIA MEDEHN DEREJET,,
,DOZER,ሥከ-DZ-0034,Batu Construction Share Company,49V15069,44X836,766,14/10/94,Cat,D5B,105,105,1979,009-DZ-05,AA,AA,23,14,1783,710999,,,FREE,,,,የባንክ ቤት,22/04/95,428/95,10.917.192.60,ETHIOPIA MEDEHN DEREJET,,
,DOZER,ሥከ-DZ-0035,Batu Construction Share Company,46A21607,66V-5004,767,17/10/94,Cat,D8K,300,300,1980,009-DZ-06,AA,AA,23,14,1783,710999,,,FREE,,,,የባንክ ቤት,22/04/95,428/95,10.917.192.60,ETHIOPIA MEDEHN DEREJET,,
,DOZER,ሥከ-DZ-0036,Batu Construction Share Company,17513886,77W-12887,768,17/10/94,Cat,D8K,300,300,1979,009-DZ-07,AA,AA,23,14,1783,710999,,,FREE,,,,የባንክ ቤት,18/10/95,1522/95,10.917.192.60,ETHIOPIA MEDEHN DEREJET,,
,DOZER,ሥከ-DZ-0037,Batu Construction Share Company,56D/55-4-47792,28722,769,14/10/94,Komatsu,D155A,320,320,1991,009-DZ-08,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0038,Batu Construction Share Company,47786,28716,770,14/10/94,Komatsu,D-155A-1,320,320,1991,009-DZ-09,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0039,Batu Construction Share Company,56D155-4-47803,28733,771,14/10/94,Komatsu,D-155A-1,320,320,1991,009-DZ-10,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0040,National Engineers & Contractor Enterprise,3N75843,92V5305,821,17/11/94,Cat,D7G,200,200,1977,032-DZ-03,AA,AA,17,24,2067,621836,,,FREE,,,,MEDHEN DEREJET,30/11/94,317/94,2.190.00,ETHIOPIAN MEDHEN DEREJET,,
,DOZER,ሥከ-DZ-0041,National Engineers & Contractor Enterprise,3N63239,92V5309,822,17/11/94,Cat,D7G,200,200,1977,032-DZ-04,AA,AA,17,24,2067,621836,,,FREE,,,,MEDHEN DEREJET,30/11/94,317/94,2.190.00,ETHIOPIAN MEDHEN DEREJET,,
,DOZER,ሥከ-DZ-0042,National Engineers & Contractor Enterprise,3N63444,92V5154,823,17/11/94,Cat,D7G,200,200,1977,032-DZ-05,AA,AA,17,24,2067,621836,,,FREE,,,,MEDHEN DEREJET,30/11/94,317/94,2.190.00,ETHIOPIAN MEDHEN DEREJET,,
,DOZER,ሥከ-DZ-0043,National Engineers & Contractor Enterprise,47A4303,47A4303,833,18/11/94,Cat,D7E,180,180,1967,032-DZ-02,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0044,National Engineers & Contractor Enterprise,3N63641,92V5303,864,30/12/94,Cat,D7G,200,200,1977,032-DZ-06,AA,AA,17,24,2067,621836,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0045,Water Works Construction Enterprise,004-263409,300237,881,02/01/95,Fiat Allis,FD-30B,337,337,1986,026-DZ-12,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0046,Water Works Construction Enterprise,10Z08661,65V05285,1062,15/04/95,Cat,D7G,200,200,1985,026-DZ-04,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0047,Water Works Construction Enterprise,531-017809,20274,1063,15/04/95,Fiat Allis,14C,163,163,1986,026-DZ-06,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0048,Water Works Construction Enterprise,52029,30316,1064,15/04/95,Komatsu,D155A-1,320,320,1981,026-DZ-17,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0049,Water Works Construction Enterprise,27960,35164,1065,15/04/95,Komatsu,D85A-21,225,225,---,026-DZ-23,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0050,Agricultural Equmpent & Technical Service Share Company,25618,50105,1075,18/04/95,Komatsu,D75A-1,200,200,---,111-DZ-19,AA,AA,19,57,5575,424177,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0051,Water Works Construction Enterprise,41Z18058,9EM01055,1102,15/05/95,Cat,D8R,305,305,2000,026-DZ-28,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,16/05/95,2423/03,5.991.101,አዋሽ,,
,DOZER,ሥከ-DZ-0053,Construction works & Coffee Technology Development Enterprise,3N16782,94N7285,1238,14/08/95,Cat,D7F,180,180,1974,034-DZ-02,AA,AA,Kirkos,15/16,5898,0115155920/21,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0054,Construction works & Coffee Technology Development Enterprise,3N19228,94N7564,1239,14/08/95,Cat,D7F,180,180,1974,034-DZ-03,AA,AA,Kirkos,15/16,5898,0115155920/21,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0055,Water Works Construction Enterprise,41Z18575,9EM01057,1251,16/08/95,Cat,D8R,305,305,2000,026-DZ-31,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,26/10/95,1225/03,11.982.203.80,ኢትዮጲ ያ ንግድ ባንክ,,
,DOZER,ሥከ-DZ-0056,Water Works Construction Enterprise,5A6D-140E-2-30526,65066,1260,28/08/95,Komatsu,D155A-5,302,302,---,026-DZ-29,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,26/10/95,1225/03,11.982.203.80,ኢትዮጲ ያ ንግድ ባንክ,,
,DOZER,ሥከ-DZ-0057,Water Works Construction Enterprise,90034,37671,1261,28/08/95,Komatsu,D85A-21,225,225,---,026-DZ-30,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,የባንክ ቤት,26/10/95,1225/03,11.982.203.80,ኢትዮጲ ያ ንግድ ባንክ,,
,DOZER,ሥከ-DZ-0059,Batu Construction Share Company,49V21129,44X834,1415,13/12/95,Cat,D5B,105,105,1980,009-DZ-04,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0060,Agricultural Equmpent & Technical Service Share Company,3N63608,92V5284,1506,23/03/96,Cat,D7G,200,200,1977,111-DZ-22,AA,AA,19,57,5575,424177,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0061,Adama Liue Zone,41502,50263,1522,19/04/96,Komatsu,D75A-1,200,200,---,242-DZ-01,Oromia,Adama,Adama,15,34,112003,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0062,Addis Ababa Water & Sewerage Authority,4TF49096,4BR00489,1899,08/02/97,Cat,DSMXL,110,110,1998,350-DZ-01,AA,AA,Bole,08/09,1505,116621525,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0063,Addis Ababa Water & Sewerage Authority,4TF49270,4BR00490,1900,08/02/97,Cat,DSMXL,110,110,1998,350-DZ-02,AA,AA,Bole,08/09,1505,116621525,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0064,Blue Nile Construction Share Company,13Z09022,20X04767,1909,11/02/97,Cat,D6D,140,140,1986,050-DZ-03,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0065,Blue Nile Construction Share Company,48W38032,53Y03694,1915,16/02/97,Cat,D8L,335,335,1984,050-DZ-06,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0066,Blue Nile Construction Share Company,48W20746,53Y03607,1916,16/02/97,Cat,D8L,335,335,1984,050-DZ-08,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0067,Blue Nile Construction Share Company,10Z08621,92V7727,1917,16/02/99,Cat,D7G,200,200,1979,050-DZ-11,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0068,Batu Construction Share Company,41Z22639,9EM02224,2277,27/11/97,Cat,D8R,305,305,2004,009-DZ-11,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0069,Batu Construction Share Company,41Z22729,9EM02225,2278,27/11/97,Cat,D8R,305,305,2004,009-DZ-12,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0070,Construction works & Coffee Technology Development Enterprise,48W22176,53Y04123,3155,02/05/99,Cat,D8L,335,335,1985,034-DZ-04,AA,AA,Kirkos,15/16,5898,0115155920/21,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0071,Construction works & Coffee Technology Development Enterprise,48W22371,53Y04193,3156,02/05/99,Cat,D8L,335,335,1985,034-DZ-05,AA,AA,Kirkos,15/16,5898,0115155920/21,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0072,Norinco Lalibela Engineering & Construction Share Company,41Z23495,9EM02740,3208,01/06/99,Cat,D8R,305,305,2006,010-DZ-05,AA,AA,Kirkos,4,4690,114423000,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0073,Norinco Lalibela Engineering & Construction Share Company,41Z23480,9EM02743,3209,01/06/99,Cat,D8R,305,305,2006,010-DZ-07,AA,AA,Kirkos,4,4690,114423000,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0075,Blue Nile Construction Share Company,41Z24558,9EM03535,3924,06/03/00,Cat,D8R,305,305,2007,050-DZ-20,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0076,Building Materials Supply Enterprise,3N92076,92V9027,4508,25/09/00,Cat,D7G,200,200,1980,1259-DZ-01,AA,AA,Bole,6,2315,116610138,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0077,Building Materials Supply Enterprise,10Z13328,65V06914,4509,25/09/00,Cat,D7G,200,200,---,1259-DZ-02,AA,AA,Bole,6,2315,116610138,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0078,Debremarkos City Administration Office,41Z26835,9EM05044,5761,18/10/01,Cat,D8R,305,305,2009,1695-DZ-01,Amhara,D/Markos,D/Markos,4,---,0587711157/0582203456,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0079,Defence Construction & Engineering Enterprise.,41Z20181,9EM01307,6158,12/02/02,Cat,D8R,305,305,2000,1729-DZ-01,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,,,,,,,,
368,DOZER,ሥከ-DZ-0080,Defence Construction & Engineering Enterprise.,41Z20180,9EM01306,6159,12/02/02,Cat,D8R,305,305,2000,1729-DZ-02,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,2008/2009,,,,,,,
348,DOZER,ሥከ-DZ-0081,Defence Construction & Engineering Enterprise.,41Z20139,9EM01302,6160,12/02/02,Cat,D8R,305,305,2001,1729-DZ-03,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,2008/2009,,,,,,,
,DOZER,ሥከ-DZ-0082,Defence Construction & Engineering Enterprise.,41Z20163,9EM01300,6161,12/02/02,Cat,D8R,305,305,2001,1729-DZ-04,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0083,Defence Construction & Engineering Enterprise.,79383615,785001P075090,7466,03/03/03,Dressta,TD25M,375,375,2009,1729-DZ-06,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0084,Ethiopian Electric Power Corporation,36939,66057,6757,17/06/02,Komatsu,D-155A-5,302,302,2008,772-DZ-01,AA,AA,Yeka,---,1233,0111550811/0116463213,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0085,Ethiopian Electric Power Corporation,36963,66058,6758,17/06/02,Komatsu,D-155A-5,302,302,2008,772-DZ-02,AA,AA,Yeka,---,1233,0111550811/0116463213,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0086,Ethiopian Electric Power Corporation,36865,66040,6759,17/06/02,Komatsu,D155A-5,302,302,2008,772-DZ-04,AA,AA,Yeka,---,1233,0111550811/0116463213,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0087,Ethiopian Electric Power Corporation,36956,66059,6772,17/06/02,Komatsu,D155A-5,302,302,2008,772-DZ-03,AA,AA,Yeka,---,1233,0111550811/0116463213,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0088,Amhara Road Works Enterprise,41Z26650,9EM04907,7089,14/10/02,Cat,D8R,305,305,2009,2109-DZ-01,Amhara,Semen Gonder,---,Adarkaye,---,0582201480/0582201711,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0089,Amhara Road Works Enterprise,41Z26618,9EM04909,7090,14/10/02,Cat,D8R,305,305,2009,2109-DZ-02,Amhara,Semen Gonder,---,Adarkaye,---,0582201480/0582201711,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0090,Amhara Road Works Enterprise,41Z26648,9EM04915,7091,14/10/02,Cat,D8R,305,305,2009,2109-DZ-03,Amhara,Semen Gonder,---,Adarkaye,---,0582201480/0582201711,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0091,Amhara Road Works Enterprise,41Z26660,9EM04918,7092,14/10/02,Cat,D8R,305,305,2009,2109-DZ-04,Amhara,Semen Gonder,---,Adarkaye,---,0582201480/0582201711,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0092,Amhara Road Works Enterprise,41Z26653,9EM04920,7093,14/10/02,Cat,D8R,305,305,2009,2109-DZ-05,Amhara,Semen Gonder,---,Adarkaye,---,0582201480/0582201711,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0093,Defence Construction & Engineering Enterprise.,79378428,7850001P075091,7467,03/03/03,Dressta,TD25M,375,375,2009,1729-DZ-07,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,,,,,,,,
209,DOZER,ሥከ-DZ-0094,Oromia Roads Construction Enterprise,41Z24038,9EM03113,7557,09/04/03,Cat,D8R,305,305,1999,1871-DZ-03,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,2008/2009,,,,,,,
,DOZER,ሥከ-DZ-0095,Oromia Roads Construction Enterprise,41Z24014,9EM03114,7558,09/04/03,Cat,D8R,305,305,1999,1871-DZ-04,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0096,Oromia Roads Construction Enterprise,10Z47940,65V09581,7559,09/04/03,Cat,D7G,200,200,1999,1871-DZ-05,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0097,Oromia Roads Construction Enterprise,41Z18837,9EM01073,7560,09/04/03,Cat,D8R,305,305,1999,1871-DZ-07,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0098,Oromia Roads Construction Enterprise,10Z47917,65V09574,7604,27/04/03,Cat,D7G,200,200,2005,1871-DZ-02,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0099,Oromia Roads Construction Enterprise,41Z18848,9EM01077,7605,27/04/03,Cat,D8R,305,305,1992,1871-DZ-06,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0100,Amhara National Region Water Works Construction Enterprise,41Z26790,9EM04994,7794,26/07/03,Cat,D8R,305,305,---,1722-DZ-02,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0101,Amhara National Region Water Works Construction Enterprise,7ZR25323,AEC02276,7801,26/07/03,Cat,D7R2,240,240,2009,1722-DZ-03,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0102,Amhara National Region Water Works Construction Enterprise,7ZR25321,AEC02275,7802,26/07/03,Cat,D7R2,240,240,2009,1722-DZ-04,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0103,Amhara National Region Water Works Construction Enterprise,7ZR25325,AEC02274,7803,26/07/03,Cat,D7R2,240,240,2009,1722-DZ-05,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0104,Amhara National Region Water Works Construction Enterprise,7ZR25340,AEC02277,7804,26/07/03,Cat,D7R2,240,240,2009,1722-DZ-06,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0105,Amhara National Region Water Works Construction Enterprise,35147667,52646,7805,26/07/03,Dressta,TD20H,225,225,---,1722-DZ-07,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
,DOZER,ሥከ-DZ-0106,Amhara National Region Water Works Construction Enterprise,41Z26794,9EM04996,7815,26/07/03,Cat,D8R,305,305,2009,1722-DZ-01,Amarha,Bahir Dar,Bahir Dar,---,106,58220288,,,FREE,,,,,,,,,,
358,DOZER,ሥከ-DZ-0107,Defence Construction & Engineering Enterprise.,79332545,7850001P075056,8682,14/06/04,Dressta,TD25M,375,375,2009,1729-DZ-05,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,2008/2009,,,,,,,
360,DOZER,ሥከ-DZ-0108,Defence Construction & Engineering Enterprise.,79383616,7850001P075092,8683,14/06/04,Dressta,TD25M,375,375,2009,1729-DZ-08,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,2008/2009,,,,,,,
352,DOZER,ሥከ-DZ-0109,Defence Construction & Engineering Enterprise.,79383614,7850001P075089,8684,14/06/04,Dressta,TD-25M,375,375,2009,1729-DZ-09,AA,AA,A/Kaliti,9,3414,0114343581/2,,,FREE,,,2008/2009,,,,,,,
,DOZER,ሥከ-DZ-0110,Ethiopia Plywood Enterprise,13Z04957,20X4108,8699,05/06/04,Cat,D6D,140,140,1985,1729-DZ-01,AA,AA,A/Kaliti,9,3414,0114343581/2,,,PAID,,,,,,,,,,
,DOZER,ሥከ-DZ-0112,AA City Adm/ Solid Waste-RE-Use & Disposal Project,TXC01084,9EM07139,9462,29/12/04,Cat,D8R,305,305,2012,2752-DZ-01,AA,AA,Ad/Ketema,19/20,56183,112773989,,,FREE,,,,,,,,,,
